日付	名称	曜日
2015-09-22	休日	火
2015-09-23	秋分の日	水
2015-10-12	体育の日	月
2015-11-03	文化の日	火
2015-11-23	勤労感謝の日	月
2015-12-23	天皇誕生日	水
2016-01-01	元日	金
2016-01-11	成人の日	月
2016-02-11	建国記念の日	木
2016-03-20	春分の日	日
2016-03-21	休日	月
2016-04-29	昭和の日	金
2016-05-03	憲法記念日	火
2016-05-04	みどりの日	水
2016-05-05	こどもの日	木
2016-07-18	海の日	月
2016-08-11	山の日	木
2016-09-19	敬老の日	月
2016-09-22	秋分の日	木
2016-10-10	体育の日	月
2016-11-03	文化の日	木
2016-11-23	勤労感謝の日	水
2016-12-23	天皇誕生日	金
2017-01-01	元日	日
2017-01-02	休日	月
2017-01-09	成人の日	月
2017-02-11	建国記念の日	土
2017-03-20	春分の日	月
2017-04-29	昭和の日	土
2017-05-03	憲法記念日	水
2017-05-04	みどりの日	木
2017-05-05	こどもの日	金
2017-07-17	海の日	月
2017-08-11	山の日	金
2017-09-18	敬老の日	月
2017-09-23	秋分の日	土
2017-10-09	体育の日	月
2017-11-03	文化の日	金
2017-11-23	勤労感謝の日	木
2017-12-23	天皇誕生日	土
2018-01-01	元日	月
2018-01-08	成人の日	月
2018-02-11	建国記念の日	日
2018-02-12	休日	月
2018-03-21	春分の日	水
2018-04-29	昭和の日	日
2018-04-30	休日	月
2018-05-03	憲法記念日	木
2018-05-04	みどりの日	金
2018-05-05	こどもの日	土
2018-07-16	海の日	月
2018-08-11	山の日	土
2018-09-17	敬老の日	月
2018-09-23	秋分の日	日
2018-09-24	休日	月
2018-10-08	体育の日	月
2018-11-03	文化の日	土
2018-11-23	勤労感謝の日	金
2018-12-23	天皇誕生日	日
2018-12-24	休日	月
2019-01-01	元日	火
2019-01-14	成人の日	月
2019-02-11	建国記念の日	月
2019-03-21	春分の日	木
2019-04-29	昭和の日	月
2019-04-30	休日	火
2019-05-01	休日（祝日扱い）	水
2019-05-02	休日	木
2019-05-03	憲法記念日	金
2019-05-04	みどりの日	土
2019-05-05	こどもの日	日
2019-05-06	休日	月
2019-07-15	海の日	月
2019-08-11	山の日	日
2019-08-12	休日	月
2019-09-16	敬老の日	月
2019-09-23	秋分の日	月
2019-10-14	体育の日（スポーツの日）	月
2019-10-22	休日（祝日扱い）	火
2019-11-03	文化の日	日
2019-11-04	休日	月
2019-11-23	勤労感謝の日	土
2020-01-01	元日	水
2020-01-13	成人の日	月
2020-02-11	建国記念の日	火
2020-02-23	天皇誕生日	日
2020-02-24	休日	月
2020-03-20	春分の日	金
2020-04-29	昭和の日	水
2020-05-03	憲法記念日	日
2020-05-04	みどりの日	月
2020-05-05	こどもの日	火
2020-05-06	休日	水
2020-07-23	海の日	木
2020-07-24	スポーツの日	金
2020-08-10	山の日	月
2020-09-21	敬老の日	月
2020-09-22	秋分の日	火
2020-11-03	文化の日	火
2020-11-23	勤労感謝の日	月
2021-01-01	元日	金
2021-01-11	成人の日	月
